Anime Title,Timestamp,Gigguk Excited?,Notes
NieR:Automata Ver1.1a,0:21,Yes,"Praises the game's hard-hitting story, profound themes. Later (6:10) praises adaptation's visuals/action but questions adapting game mechanics."
Revenger,0:56,Yes,"Calls it ""dumb bloody fun,"" notes Urobuchi's involvement, samurai revenge theme."
The Reincarnation of the Strongest Exorcist in Another World (Saikyou Onmyouji no Isekai),2:07,No,"Calls it ""AI generated,"" criticizes generic isekai tropes (OP protag, harem, magic school, slavery)."
Vinland Saga Season 2,2:28,Yes,"Praises MAPPA's adaptation, believes it will do justice to the source material."
"Various Sequels (Tokyo Revengers 2, Nagatoro S2, Bungo S4, Shield Hero S?, In/Spectre 2, Danmachi 4 P2)",2:38,Neutral,"Lists the numerous sequels, noting the high quantity this season."
The Misfit of Demon King Academy II,2:47,Yes,"Hyped for Anos Voldigoad's return, calling him ""Giga chad vaulty goat."""
Sugar Apple Fairy Tale,3:01,Yes,"Praises the gorgeous watercolor art style, happy to see more Shojo. Notes the ""worker fairy"" slavery aspect."
Tomo-chan Is a Girl!,3:24,Yes,"Excited for the ""era of tomboys,"" calls it cute, compares premise to a ""tomboy Nozaki-kun."""
Spy Classroom,3:42,Maybe/Intrigued,Compares to Assassination Classroom but with spies. Questions premise of national security relying on cute girls (like Lycoris Recoil).
The Ice Guy and His Cool Female Colleague,3:54,Amused,"Focuses on the ""two kuuderes like each other"" premise, jokes about their slow relationship progress."
Buddy Daddies,4:13,Yes,"Calls it cute, praises the realistic (sometimes annoying) portrayal of the child Miri, comparing favorably to Anya (Spy x Family)."
Trigun Stampede,4:32,Yes (Very),"Highly excited, nostalgic for original. Praises Studio Orange's 3D animation (dynamic, expressive), sci-fi western setting."
Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,5:16,Amused,"Finds the premise (outcasts banding together) and protagonist's name ""Nick"" amusingly mundane."
The Angel Next Door Spoils Me Rotten,5:33,No (Sarcastically),"Calls it ""way too pure and wholesome,"" sarcastically disgusted by the innocent relationship dynamic."
Kubo Won't Let Me Be Invisible,6:02,No,"Disappointed it's wholesome rather than fitting the expected ""teasing genre"" mold like Nagatoro."
ONIMAI: I'm Now Your Sister!,6:47,Intrigued,"Praises Studio Bind's animation quality. Notes the ""worrying"" premise (man -> loli) but hears it's wholesome despite undertones."
High Card,7:09,Yes,"Calls it ""Dopey fun action,"" likes the card-based power system. Jokes it should be called ""Card Captain JoJo."""
Giant Beasts of Ars (Ars no Kyojuu),7:26,Intrigued,"Interested as an anime original, compares to Monster Hunter (jokingly Attack on Titan). Keeping an eye on it."
"Saving 80,000 Gold in Another World for My Retirement",7:51,Yes,"Likes the concept of isekai for financial reasons (""escaping the IRS""), finds it a fun twist on the genre."
Farming Life in Another World,8:04,Neutral,"Notes it's about actual farming, not action-farming."
Campfire Cooking in Another World with My Absurd Skill,8:11,Amused,"Finds the ""Amazon Prime"" skill amusingly overpowered."
Chillin' in My 30s after Getting Fired from the Demon King's Army,8:17,Amused/Relatable,"Finds the protagonist relatable due to age and ""worthless power."""
Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,8:21,Intrigued,Finds the unique premise (in-game characters hearing player commentary) interesting.
Handyman Saitou in Another World,8:27,Amused,"Jokes about it being ""Lock Picking Lawyer in Another World."""
Reborn to Master the Blade: From Hero-King to Extraordinary Squire,8:31,Yes,"Praises the visual quality, especially the good-looking non-CG dragons, thinks it looks better than expected for the genre."
The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,8:46,Yes (Top Pick),"His top isekai pick. Praises charming world/characters, energetic protagonist (compares to Chisato), focuses on story over tropes, notes Yuri."
